1;scout_tower;2275.00;10.20;2023.00;5.75;0
1;anti_air_building;2285.00;10.25;2017.00;0.04;0
1;anti_air_building;2262.00;10.30;2031.00;2.70;0
1;anti_air_building;2257.00;10.20;2029.00;5.72;0
1;air_base;2248.00;10.25;2039.00;0.64;0
1;manufactory;2272.00;12.03;2038.00;4.76;0
1;manufactory;2272.00;11.48;2036.00;2.61;0
1;manufactory;2270.00;13.75;2045.00;2.71;0
1;manufactory;2271.00;12.98;2042.00;0.55;0
1;manufactory;2308.00;12.15;2038.00;3.21;0
1;manufactory;2307.00;12.15;2036.00;4.77;0
1;factory;2268.00;10.13;2026.00;1.16;0
1;factory;2297.00;13.32;2040.00;5.28;0
1;factory;2291.00;12.82;2038.00;0.20;0
1;factory;2261.00;12.10;2043.00;3.22;0
1;factory;2237.00;10.07;2045.00;5.88;0
1;factory;2263.00;11.57;2038.00;2.26;0
1;dockyard;2241.00;9.73;2035.00;-1.25;0
1;mine;2294.00;13.82;2045.00;2.78;0
1;wall;2278.00;10.05;2015.00;2.17;0
1;wall;2295.00;10.73;2015.00;3.38;0
1;wall;2303.00;12.53;2042.00;1.22;0
1;wall;2282.00;10.23;2019.00;5.34;0
1;wall;2298.00;12.15;2033.00;5.45;0
1;wall;2291.00;13.13;2040.00;3.29;0
1;wall;2283.00;10.32;2020.00;5.95;0
1;wall;2254.00;10.65;2038.00;2.33;0
1;wall;2300.00;10.50;2013.00;3.89;0
1;wall;2283.00;13.80;2042.00;1.73;0
1;wall;2260.00;10.35;2031.00;4.40;0
1;wall;2275.00;12.78;2040.00;0.78;0
1;wall;2296.00;11.53;2026.00;2.34;0
1;wall;2285.00;10.00;2007.00;0.18;0
1;wall;2264.00;10.03;2024.00;2.84;0
1;wall;2248.00;9.95;2030.00;5.50;0
1;wall;2257.00;10.00;2025.00;2.24;0
1;wall;2269.00;13.68;2045.00;3.45;0
1;wall;2256.00;11.38;2046.00;1.29;0
1;wall;2306.00;11.57;2024.00;2.85;0
1;wall;2290.00;11.48;2030.00;5.51;0
