9293;0;3564.00;24.35;1613.00;-1.50;1.00
10382;0;3658.00;18.95;1506.00;0.00;1.00
9293;1;3564.00;24.45;1613.00;0.00;1.00
10382;1;3658.00;18.85;1506.00;-0.30;1.00
9293;2;3564.00;24.45;1613.00;0.00;1.00
10382;2;3658.00;18.95;1506.00;0.00;1.00
9293;3;3564.00;24.35;1613.00;0.00;1.00
10382;3;3658.00;18.85;1506.00;0.00;1.00
9293;4;3564.00;24.35;1613.00;0.00;1.00
10382;4;3658.00;18.65;1506.00;0.00;1.00
9293;5;3564.00;24.35;1613.00;0.00;1.00
10382;5;3658.00;18.75;1506.00;0.00;1.00
10382;6;3658.00;18.85;1506.00;0.00;1.00
10382;7;3658.00;18.95;1506.00;0.00;1.00
9293;9;3564.00;24.35;1613.00;0.00;1.00
10382;9;3658.00;18.95;1506.00;0.00;1.00
9293;10;3564.00;24.35;1613.00;0.00;1.00
10382;10;3658.00;18.95;1506.00;0.00;1.00
9293;21;3564.00;24.25;1613.00;0.00;1.00
10382;21;3658.00;17.55;1506.00;0.00;1.00
